Product Price,Model Number,Processor Type,Processor Speed,RAM Size,Graphics Card,Screen Size,Operating System,Display Type,Storage Value,Storage Type,kmeans
2999.0,HP EliteBook 645 14 inch G9 Notebook PC,AMD Ryzen 7-5825U,2.0,16,AMD Radeon Graphics,14.0,Windows 11 Professional,Full HD,512,SSD M.2,1
2999.0,ThinkPad E15 Gen 4,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,256,SSD M.2,1
5899.0,Dell G15 5530 Gaming,Intel Core i7-13650HX (13th Gen),1.9,16,NVIDIA GeForce RTX 4060 8GB,15.6,Windows 11 Home,Full HD,1024,SSD M.2,4
4499.0,Asus TUF Gaming FA507NV-LP020,AMD Ryzen 7-7735HS,3.2,16,NVIDIA GeForce RTX 4060 8GB,15.6,Dos,Full HD,1024,SSD M.2,4
2349.0,Asus Vivobook X1504VA-NJ400,Intel Core i7-1355U (13th Gen),1.7,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,1024,SSD M.2,4
2349.0,ThinkPad E16 Gen 1 (Intel),Intel Core i7-13700H (13th Gen),2.4,16,Intel Iris Xe Graphics,16.0,Dos,WUXGA,512,SSD M.2,1
12499.0,Lenovo Legion Pro 7 16IRX9H,Intel Core i9-14900HX (14th Generation),1.6,32,"NVIDIA GeForce RTX 4080 12GB GDDR6, Boost Clock 2280MHz, TGP 175W, 542 AI TOPS",16.0,Windows 11 Home,WQXGA,1024,SSD M.2,4
12499.0,ThinkPad E16 Gen 1 (Intel),Intel Core i7-1355U (13th Gen),1.2,8,NVIDIA GeForce MX550 2 GB,16.0,Dos,WUXGA,512,SSD M.2,1
6999.0,HP Dragonfly 13.5 inch G4 Notebook PC (818N5EA),Intel Core i7-1355U (13th Gen),1.7,32,Intel Iris Xe Graphics,13.5,Windows 11 Professional,WUXGA,1024,SSD M.2,4
2199.0,Lenovo IdeaPad 5 15IAL7,Intel Core i5-1235U (12th Gen),1.3,16,NVIDIA GeForce MX550 2 GB,15.6,Dos,Full HD,512,SSD M.2,1
